COUNTY,ZIPCODE,PWSID,"AnalyticalResultValue.1,1-dichloroethane","AnalyticalResultValue.1,2,3-trichloropropane","AnalyticalResultValue.1,3-butadiene","AnalyticalResultValue.1,4-dioxane",AnalyticalResultValue.17-alpha-ethynylestrad,AnalyticalResultValue.17-beta-estradiol,"AnalyticalResultValue.4-androstene-3,17-dion",AnalyticalResultValue.Aerobic spores,AnalyticalResultValue.E. coli,AnalyticalResultValue.Enterococci,AnalyticalResultValue.Enteroviruses (RT-qPCR,AnalyticalResultValue.Enteroviruses (cell cu,AnalyticalResultValue.HCFC-22,AnalyticalResultValue.Halon 1011,AnalyticalResultValue.Male specific phage,AnalyticalResultValue.Noroviruses GIA,AnalyticalResultValue.Noroviruses GIB,AnalyticalResultValue.Noroviruses GII,AnalyticalResultValue.PFBS,AnalyticalResultValue.PFHpA,AnalyticalResultValue.PFHxS,AnalyticalResultValue.PFNA,AnalyticalResultValue.PFOA,AnalyticalResultValue.PFOS,AnalyticalResultValue.Somatic phage,AnalyticalResultValue.Total coliforms,AnalyticalResultValue.bromomethane,AnalyticalResultValue.chlorate,AnalyticalResultValue.chloromethane,AnalyticalResultValue.chromium,AnalyticalResultValue.chromium-6,AnalyticalResultValue.cobalt,AnalyticalResultValue.equilin,AnalyticalResultValue.estriol,AnalyticalResultValue.estrone,AnalyticalResultValue.germanium,AnalyticalResultValue.manganese,AnalyticalResultValue.molybdenum,AnalyticalResultValue.n-propylbenzene,AnalyticalResultValue.sec-butylbenzene,AnalyticalResultValue.strontium,AnalyticalResultValue.tellurium,AnalyticalResultValue.testosterone,AnalyticalResultValue.vanadium,"indices.1,1-dichloroethane","indices.1,2,3-trichloropropane","indices.1,3-butadiene","indices.1,4-dioxane",indices.17-alpha-ethynylestrad,indices.17-beta-estradiol,"indices.4-androstene-3,17-dion",indices.Aerobic spores,indices.E. coli,indices.Enterococci,indices.Enteroviruses (RT-qPCR,indices.Enteroviruses (cell cu,indices.HCFC-22,indices.Halon 1011,indices.Male specific phage,indices.Noroviruses GIA,indices.Noroviruses GIB,indices.Noroviruses GII,indices.PFBS,indices.PFHpA,indices.PFHxS,indices.PFNA,indices.PFOA,indices.PFOS,indices.Somatic phage,indices.Total coliforms,indices.bromomethane,indices.chlorate,indices.chloromethane,indices.chromium,indices.chromium-6,indices.cobalt,indices.equilin,indices.estriol,indices.estrone,indices.germanium,indices.manganese,indices.molybdenum,indices.n-propylbenzene,indices.sec-butylbenzene,indices.strontium,indices.tellurium,indices.testosterone,indices.vanadium,countyname,state,indices.sum,population
25017,2493,MA3347000,0.44,0.021213203,0.070710678,0.41,0.000636396,0.000282843,0.000212132,,,,,,0.64,0.042426407,,,,,0.06363961,0.01,0.021213203,0.014142136,0.05,0.028284271,,,0.141421356,1830,0.79,41.2,0.9,2.1,0.002828427,0.000565685,0.001414214,,,2.4,,,344,,7.07E-05,12,2,0,0,1,0,0,0,,,,,,1,0,,,,,0,1,0,0,1,0,,,0,2,1,3,2,1,0,0,0,,,1,,,4,,0,2,MIDDLESEX,MA,22,1552802.00
36103,11980,NY5110526,4.09,1.02,0.070710678,8.5,0.000636396,0.000282843,0.000212132,,,,,,1.4,0.042426407,,,,,0.06363961,0.082,0.14,0.014142136,0.014142136,0.53,,,0.141421356,1200,0.141421356,6.5,7.3,62.6,0.002828427,0.000565685,0.001414214,0.707106781,25,1.3,0.021213203,0.028284271,169,0.707106781,7.07E-05,6.97,3,2,0,3,0,0,0,,,,,,2,0,,,,,0,1,1,0,0,2,,,0,2,0,2,3,2,0,0,0,0,2,1,0,0,3,0,0,2,SUFFOLK,NY,31,1499738.00
6067,95864,CA3410704,0.041,0.034,0.070710678,0.45,0.000636396,0.00091,0.0004,,,,,,15,0.09,,,,,0.06363961,0.007071068,0.085,0.014142136,0.031,0.156,,,2.1,2700,1,49,15,0.707106781,0.002828427,0.000565685,0.001414214,0.707106781,4.3,4.3,0.021213203,0.028284271,1000,0.707106781,0.00026,85,1,1,0,1,0,1,1,,,,,,3,1,,,,,0,0,1,0,1,1,,,2,3,1,3,3,0,0,0,0,0,1,1,0,0,4,0,1,3,SACRAMENTO,CA,34,1462131.00
36005,10803,NY5903465,0.021213203,0.021213203,0.070710678,0.11,0.000636396,0.000282843,0.000212132,,,,,,0.056568542,0.042426407,,,,,0.06363961,0.007071068,0.021213203,0.014142136,0.014142136,0.028284271,,,0.141421356,150,0.141421356,0.2,0.076,0.707106781,0.002828427,0.000565685,0.001414214,,,0.707106781,,,26,,7.07E-05,0.141421356,0,0,0,1,0,0,0,,,,,,0,0,,,,,0,0,0,0,0,0,,,0,1,0,1,1,0,0,0,0,,,0,,,2,,0,0,BRONX,NY,6,1418733.00
12099,33496,OH5002812,0.021213203,0.021213203,0.070710678,0.28,0.000636396,0.000282843,0.000212132,,,,,,0.32,0.56,,,,,0.06363961,0.007071068,0.021213203,0.014142136,0.014142136,0.028284271,,,0.141421356,1240,0.43,2.5,0.55,0.707106781,0.002828427,0.000565685,0.001414214,,,2.4,,,1400,,7.07E-05,6.6,0,0,0,1,0,0,0,,,,,,1,1,,,,,0,0,0,0,0,0,,,0,2,1,2,2,0,0,0,0,,,1,,,4,,0,2,PALM BEACH,FL,17,1372171.00
36059,11804,NY5110526,4.09,1.02,0.070710678,34,0.000636396,0.000282843,0.000212132,,,,,,5,0.042426407,,,,,0.06363961,0.082,0.14,0.032,0.048,0.53,,,0.2,1200,0.8,9.1,5.59,84,0.002828427,0.000565685,0.001414214,0.707106781,4.898,1.18,0.021213203,0.028284271,330,0.707106781,7.07E-05,6.97,3,2,0,3,0,0,0,,,,,,2,0,,,,,0,1,1,1,1,2,,,1,2,1,2,3,2,0,0,0,0,1,1,0,0,4,0,0,2,NASSAU,NY,35,1352146.00
12057,33621,FL6588003,0.021213203,0.021213203,0.070710678,0.17,0.000636396,0.000282843,0.000212132,,,,,,0.16,0.042426407,,,,,0.06363961,0.007071068,0.021213203,0.014142136,0.014142136,0.028284271,,,0.141421356,1900,1.2,0.56,0.51,0.707106781,0.002828427,0.000565685,0.001414214,0.707106781,38,11,0.064,0.028284271,7280,0.707106781,7.07E-05,15,0,0,0,1,0,0,0,,,,,,1,0,,,,,0,0,0,0,0,0,,,0,2,1,1,2,0,0,0,0,0,2,2,1,0,5,0,0,2,HILLSBOROUGH,FL,20,1291578.00
39035,44233,OH5200112,0.105,0.021213203,0.070710678,0.09,0.000636396,0.000282843,0.000212132,,,,,,0.056568542,0.137,,,,,0.06363961,0.007071068,0.021213203,0.014142136,0.014142136,0.4,,,0.141421356,576,0.141421356,0.41,0.23,0.707106781,0.002828427,0.000565685,0.001414214,0.707106781,7.014,13.617,0.021213203,0.028284271,629.951,0.707106781,0.00016,3,1,0,0,1,0,0,0,,,,,,0,1,,,,,0,0,0,0,0,2,,,0,2,0,1,1,0,0,0,0,0,1,2,0,0,4,0,1,2,CUYAHOGA,OH,19,1263154.00
26125,48462,WY5601339,0.021213203,0.021213203,0.070710678,1.8,0.000636396,0.000282843,0.0005,,,,,,0.056568542,0.042426407,,,,,0.06363961,0.007071068,0.021213203,0.014142136,0.014142136,0.028284271,,,0.141421356,2160,0.141421356,1.6,0.535,2.1,0.002828427,0.000565685,0.001414214,0.707106781,349.458,17.2,0.021213203,0.028284271,968,0.707106781,0.0001,0.7,0,0,0,2,0,0,1,,,,,,0,0,,,,,0,0,0,0,0,0,,,0,3,0,1,2,1,0,0,0,0,3,2,0,0,4,0,1,1,OAKLAND,MI,21,1231640.00
42003,16229,PA5650070,0.055,0.021213203,0.070710678,1.6,0.000636396,0.000282843,0.000212132,,,,,,0.056568542,0.41,,,,,0.06363961,0.007071068,0.021213203,0.014142136,0.014142136,0.028284271,,,0.141421356,442,0.141421356,3.2,0.87,1.1,0.002828427,0.000565685,0.001414214,0.707106781,42.537,1.6,0.021213203,0.028284271,383.9,0.707106781,7.07E-05,1.2,1,0,0,2,0,0,0,,,,,,0,1,,,,,0,0,0,0,0,0,,,0,2,0,2,2,1,0,0,0,0,2,1,0,0,4,0,0,1,ALLEGHENY,PA,19,1231527.00
